,formula,ident,sg_num,pearson,gii,gii_softBV
2911,KAuSe,40759,63,oC12,0.1647656726,0.141278
2912,NaAgF4,9903,140,tI24,0.16481857630000002,0.013760000000000001
2913,K5GaSe4,300177,61,oP80,0.16490870430000001,0.127595
2914,ThTi2O6,89068,12,mC18,0.16493427930000001,0.053019
2915,HfGeO4,202080,88,tI24,0.1650154584,0.0351
2916,In6WO12,27197,148,hR19,0.16502454960000001,0.134426
2917,RbCr5S8,2567,12,mC28,0.1651593632,0.159057
2918,Na2OsO4,248087,189,hP21,0.1651787203,0.184075
2919,TlCr3S5,23632,12,mC36,0.1652057828,0.137884
2920,GdNbO4,20408,15,mC24,0.1652078942,0.112423
2921,Ho6WO12,92038,148,hR19,0.1652376163,0.09483599999999999
2922,RhCl3,25764,12,mC16,0.1652493079,0.192352
2923,Li2NiO2,71421,164,hP5,0.1653312794,0.17105099999999998
2924,SrRuO3,35828,11,mP20,0.16538586160000002,0.16545
2925,Li4Ge9O20,34361,5,mC66,0.1653977992,0.138798
2926,LaNb7O19,36607,150,hP54,0.1654601249,0.170878
2927,K2MnS2,65453,72,oI20,0.1654681616,0.157164
2928,AgRhO2,261561,166,hR4,0.1655811205,0.201896
2929,Eu(Be10N7)2,130193,87,tI70,0.1656655898,0.561391
2930,Cs2Sn3Se7,69680,15,mC96,0.1656853685,0.143836
2931,KOsO4,131674,88,tI24,0.165794408,0.148002
2932,Mn(ReO4)2,51014,147,hP11,0.1658267511,0.128219
2933,MgGeP2,182369,122,tI16,0.1658437389,0.20374699999999998
2934,Ti4O7,19016,2,aP22,0.1658876364,0.15574000000000002
2935,Y2CdSe4,620457,227,cF56,0.1659089679,
2936,ReBiO4,10481,63,oC24,0.1659676145,0.09042499999999999
2937,NaTaO3,241444,63,oC40,0.1660041663,0.07312
2938,Cu(BiO2)2,12104,79,tI28,0.16614551630000002,0.127504
2939,K6CoSe4,68605,186,hP22,0.1662796057,0.16494899999999998
2940,NaFe3O5,73881,58,oP36,0.16634127340000002,0.154295
2941,SrFe12O19,69023,194,hP64,0.16640145950000002,0.105456
2942,VCu3O4,418372,121,tI16,0.1664290879,0.10320299999999999
2943,BaZr2F10,202530,15,mC52,0.1665310321,0.088008
2944,ErMnO3,280583,185,hP30,0.16656740350000002,0.19375
2945,DyFeO3,280091,62,oP20,0.16665842050000002,0.056905
2946,DyCrO4,93788,141,tI24,0.1666637451,0.10391
2947,Co2NiS4,24213,227,cF56,0.1668175224,
2948,Ta3Bi7O18,280092,1,aP56,0.1668917762,0.121
2949,YP5O14,260203,62,oP80,0.1668956777,0.167634
2950,Na5AlO4,26406,61,oP80,0.16694250700000002,0.24026899999999998
2951,CaTl2O4,413874,63,oC28,0.1670177844,0.172313
2952,Ba2ZnO3,36659,15,mC48,0.16704044170000001,0.27721599999999996
2953,Fe(MoS2)2,94749,9,mC56,0.1671921758,0.123953
2954,DyVO3,40392,62,oP20,0.167218218,0.063081
2955,Sr4Ru3O10,96729,64,oC68,0.1672516254,0.164939
2956,K3Cr11S18,73144,12,mC64,0.1672589714,0.16225399999999998
2957,CsGdS2,73538,166,hR4,0.1673306377,0.132054
2958,BaFe12O19,259873,194,hP64,0.1673387509,0.10185000000000001
2959,Na5NiO4,14163,61,oP80,0.1673961893,0.328909
2960,Sr5(Ga3O7)2,428804,14,mP50,0.1675606219,0.201368
2961,SrTeO3,182023,14,mP20,0.16757444570000002,0.18673
2962,K2Zn3O4,62146,15,mC36,0.1675884243,0.23480099999999998
2963,CsAg7S4,71644,85,tP48,0.1675973795,0.200208
2964,CsSnCl3,14199,14,mP20,0.1676126254,0.045357999999999996
2965,Rb2SiS3,409804,12,mC24,0.1676139697,0.14066099999999998
2966,Mg2SnS4,243675,62,oP28,0.1676386269,0.101062
2967,Cu3SbS3,53332,217,cI56,0.1676404169,0.163314
2968,Ta7BiO19,251951,188,hP54,0.1676448942,0.180168
2969,CuAg3S2,163982,141,tI48,0.1677376985,0.228508
2970,LaTaO4,165533,61,oP48,0.16779737690000002,0.102155
2971,BaUF6,258163,14,mP32,0.16780477570000002,
